model,accuracy,precision,recall,f1_score,roc_auc
random_forest,0.9235668789808917,0.8181818181818182,0.9574468085106383,0.8823529411764706,0.9804642166344294
logistic_regression,0.910828025477707,0.8113207547169812,0.9148936170212766,0.86,0.9748549323017408
xgboost,0.910828025477707,0.8666666666666667,0.8297872340425532,0.8478260869565217,0.9653771760154738
